job_title,company_name,state,office_type,salary
Software Engineer | Backend,Ramp,NA,Remote,161.5
Full Stack Software Engineering Intern,PlushCare,WA,Hybrid,62.0
Software Engineer- Internship,Sabre Corporation,TX,On-site,NA
Intern - Software Engineer,NetApp,NA,NA,NA
"Software Engineer III, Membership",Crunchyroll,CA,Hybrid,NA
Software Engineer,Arrow Search Partners,NY,Hybrid,150
Software Programmer,Rice Lake Weighing Systems,WI,On-site,NA
Machine Learning Engineer,Peloton Interactive,NY,Hybrid,171.6
"Software Engineer, Core Infrastructure",Moveworks,CA,On-site,100
Backend Software Engineer - All Levels,Credit Karma,NC,On-site,NA
NetApp Emerging Talent - Entry Level Software Engineer,NetApp,NA,NA,107
"Machine Learning Engineer, NLP/NLU",Peloton Interactive,NY,Hybrid,127.3
Software Engineer - Ruby on Rails,Underdog,NA,NA,135
Software Engineer (NJUS),NetJets,OH,On-site,NA
Software Engineer,StratasCorp Technologies,VA,On-site,NA
"Software Engineer, Marketing Platform",Upstart,NA,NA,136.6
"Full Stack Developer, Network Software - Intern (Spring 2025)",Astranis Space Technologies,CA,On-site,58.0
"2025 Computational Engineering Co-op - St. Lous, MO",Watlow,MO,On-site,NA
Software Engineer- Java/Kafka,"Lowe's Companies, Inc.",NC,On-site,75.3
eCommerce Full Stack Developer (React / Shopify) - On Site,Corsair,GA,On-site,NA
"Associate Engineer, Embedded Software",Analog Devices,NA,NA,NA
Intern - Front End Software Engineer,Symbotic,MA,On-site,NA
Autonomy Intern - Summer 2025,Pratt Miller,MI,On-site,36.0
Jr. Data Engineer,CyberCoders,UT,Remote,100
"Full Stack Developer, Network Software - Intern (Winter 2025)",Astranis Space Technologies,CA,On-site,58.0
Associate Software Engineer,MITRE,NA,NA,NA
Autonomy Intern - Computer Vision,Oshkosh Corporation,WI,On-site,36.0
Advance Technologies - Autonomous Engineering Intern,JLG Industries,MD,On-site,36.0
Jr. Data Engineer,Akkodis,TX,On-site,70.0
Security Engineer - New Grad,SeatGeek,NY,Hybrid,110
Modern Tech Developer,TEKsystems,MI,Hybrid,44.0
Co-Op: AI Application Engineer,Rakuten International,WA,On-site,100.0
Systems Engineer Intern,JLG Industries,PA,On-site,36.0
NOAA Software Engineer,SAIC,NJ,On-site,NA
Advance Technologies Engineering Intern,JLG Industries,MD,On-site,36.0
Advance Technologies Engineering Intern,JLG Industries,PA,On-site,36.0
(Early Career) Avionics Software Engineer I - Intern Conversion,Blue Origin,CA,On-site,86.0
"Software Developer, Network/Payload Software — Intern (Winter 2025)",Astranis Space Technologies,CA,On-site,58.0
Test Automation Engineer,Pierce Manufacturing,MN,On-site,78.4
Senior Software Engineer,Westinghouse Electric Company,PA,On-site,NA
Test Automation Engineer,Capital One,NA,NA,NA
Intern-Test Engineer,General Dynamics Ordnance and Tactical Systems,NE,On-site,40.0
"Embedded Software Intern - Rock Hill, SC",3D Systems Corporation,SC,On-site,NA
Systems Engineer,Oshkosh Corporation,FL,On-site,63.5
Software Systems Hardware Integration Engineer Intern (Spring 2025),Astranis Space Technologies,CA,On-site,58.0
Mobile Software Engineer (Android) - All Levels,Credit Karma,NC,On-site,NA
Appian Developer,IEM,NA,NA,100
Machine Learning Engineer,DSW Designer Shoe Warehouse,NA,Remote,NA
Human Systems & Visualization Intern,Draper,MA,On-site,NA
"Embedded Software Intern - WLV, OR",3D Systems Corporation,OR,On-site,NA
"Software Engineer, AI/ADAS",Harbinger,CA,On-site,100
