job_title,company_name,state,office_type,salary
Software Engineer,Horizontal Talent,MN,Remote,NA
"Software Engineer, Data",Doximity,NA,NA,150
Software Engineer - Fraud,Shipt,AL,Hybrid,NA
Backend Software Engineer - TikTok music,TikTok,NA,NA,145
Java Engineer,Chicago Trading Company,IL,On-site,NA
Software Engineer,Avathon,NA,NA,NA
Backend Software Engineer,SOCOTEC,NA,NA,85
"Fullstack Software Engineer, Workers Deploy & Config Team",Cloudflare,TX,Hybrid,154
Software Engineer – Developer Productivity,Zipline,NA,NA,135
Software Engineer,"DMA - DuCharme, McMillen & Associates, Inc.",IN,Hybrid,NA
"Software Engineer, Infrastructure (Developer Experience - Release)",Coinbase,NA,NA,147.9
"Backend Software Engineer, Global CRM Platform",TikTok,NA,NA,145
Software Engineer,Arrow Search Partners,NY,Hybrid,150
Senior Software Developer,Mitchell Martin Inc.,KY,Remote,90
Junior Software Developer,Knovva Academy,MA,On-site,NA
Software Engineer II,MRI Software,NA,NA,NA
DevOps Engineer I,Pax8,NA,Remote,87
Software Engineer,NICE,UT,Hybrid,NA
Junior Software Engineer,Axient,FL,On-site,NA
Software Engineer,Arrow Search Partners,FL,Hybrid,200
"Software Engineer, Interoperability",Roblox,CA,Hybrid,175.1
Full Stack Developer,Kforce Inc,FL,Hybrid,120.0
Software Engineer - Financial Systems,Alarm.com,VA,Hybrid,NA
Software Quality Engineer Intern - Summer 2025,ServiceNow,CA,Remote,83.38
C++ Software Engineer,Aurora,NA,NA,NA
Associate System Test Engineer,Trane Technologies,NA,NA,54
"Software Developer Onsite Omaha, NE",OneStaff Medical,NE,On-site,NA
"Backend Software Engineering Intern, Operational Tooling",Wing,NA,NA,118
"Application Engineer (SQL, Snowflake)",Waystar,KY,Hybrid,NA
DevOps Engineer,Avathon,NA,NA,NA
Research Programmer,Boston Fusion,MA,On-site,NA
"Software Engineer, Account Authentication",Roblox,CA,Hybrid,175.1
Software Engineer,Onto Innovation,MN,On-site,NA
"Fullstack Software Engineer, Workers Deploy & Config Team",Cloudflare,DC,On-site,154
Software Engineering Intern (Summer 2025),Sigma Computing,CA,On-site,100.0
Software Engineer II,Cadence,NA,NA,98
Front-End Engineer Internship – 2025 (US),Amazon,NA,NA,95.68
ASG Software Engineer,SHI International Corp.,TX,On-site,60
Microsoft .Net Intern - The Toro Company,The Toro Company,MN,On-site,44.0
Cobol Application Developer,Genworth,VA,On-site,NA
Developer,Tata Consultancy Services,PA,On-site,100
Programmer,CTDI,PA,Hybrid,NA
