job_title,company_name,state,office_type,salary
"Software Engineer, Jr",Powin,NA,NA,84
SW Engineer I - Remote,Net Health,PA,Remote,NA
Software Engineer - Early Career (2025),Figma,NA,NA,NA
Software Engineer II,Cox Communications,GA,Hybrid,85.5
Software Engineering Co-op - Remote,Net Health,PA,Remote,NA
Software Engineering Trainee,LetsGetChecked,NA,NA,30
Software Engineer II,Synapse Health,NA,NA,NA
Jr. Software Engineer,Coinbase,NA,NA,125
"Software Engineer, Backend, 1+ Years of Experience",Snap Inc.,NA,NA,97
Software Engineer - New Grad,Applied Intuition,MI,On-site,NA
Backend Engineer,Wealthfront,CA,Remote,140
Backend Engineer - US (East),HiBob,NA,NA,140
Web Developer,Linktree,NA,NA,145
Software Engineer,Cotiviti,NA,NA,84
Software Engineer,Snap Inc.,NA,NA,129
"Engineer II, Software",Exact Sciences,CA,On-site,93
"Software Engineer I, React",Chewy,MA,On-site,NA
Software Engineer - Intern (2025),Figma,NA,NA,NA
College Graduates - Full-Time - Junior Software Engineer (2025),Old Mission,IL,On-site,150
"Software Engineer, AI Platform - Intern",Nuro,CA,On-site,NA
Software Engineer - Internal Tools,Figma,NY,Remote,NA
"Software Development Engineer II, Verifications",Remitly,WA,On-site,136
Software Engineer,impact.com,NA,On-site,100
Software Engineer,impact.com,WA,Hybrid,92
Software Engineer,Optiver,TX,On-site,NA
"Engineer II, Software",Exact Sciences,WI,On-site,93
"Engineer II, Software",Exact Sciences,AZ,On-site,93
Software Engineer,Minitab,NA,NA,NA
"Software Engineer, UI Systems Team",Coinbase,NA,NA,147
Software Engineer - Smart Ensure,AppFolio,CA,On-site,104
Engineer II- Java (Remote),GEICO,MD,Remote,80
Web Developer,Linktree,CA,Hybrid,145
Software Engineer | Applied AI,Ramp,NA,Remote,161.5
"Software Engineer, CI, Autonomy & Robotics",DoorDash,NA,NA,NA
Software Engineer,GE HealthCare,WA,On-site,94.8
Software Engineer - Intern (2025),Figma,NY,Hybrid,NA
Software Engineer - Renters Insurance,AppFolio,CA,On-site,104
Software Engineer,Nuix,PA,Hybrid,NA
Software Engineer 1 - Aviation Tools Developer,Garmin,NA,NA,NA
"Software Engineer, Transforms Platform",Tempus AI,IL,Hybrid,NA
Engineer-GAR,American Express,NY,Hybrid,110
"C# Software Engineer - Yarmouth, ME",Garmin,NA,NA,NA
Associate Software Engineer,"Lowe's Companies, Inc.",NC,On-site,59.4
Entry Level Software Engineer,Amentum,VA,Hybrid,NA
Software Engineer I/II,Laserfiche,CA,Hybrid,98
Software Engineer,Cloudflare,TX,Hybrid,NA
Software Engineer - API Infrastructure,Rubrik,CA,On-site,122.8
"Software Engineer, Product",EDO,NA,NA,100
Software Engineer | Applied AI,Ramp,CA,Remote,161.5
"Software Engineer, Transaction Banking, Payments",Goldman Sachs,NA,NA,NA
Software Engineer I,Sierra Nevada Corporation,NA,NA,82
Associate Software Engineer - 100% Remote,Radian,NA,NA,63.8
Software Engineer - EA SPORTS Academy,Electronic Arts (EA),FL,Hybrid,NA
Graduate Intern - Software Engineer,Intel Corporation,NJ,Hybrid,63
"Graduate Software Engineer (2025 Start), Boulder",The Trade Desk,NA,NA,140
Software Engineer - Scheduling,Assembled,CA,Hybrid,125
Software Developer,Schneider Electric,MA,Hybrid,NA
"Software Engineer I (Backend, Business Systems)",WHOOP,MA,On-site,NA
"Software Engineer, Code Coverage Tools - New College Grad 2025",NVIDIA,NA,NA,104
Cloud Software Engineering intern,Shure Incorporated,IL,Remote,42.0
Entry Level Software Developer,SkillStorm,FL,On-site,NA
Software Development Engineer (Frontend),Adobe,NA,NA,108
Software Development Engineer I,GM Financial,TX,Hybrid,NA
"Junior Software Engineer (Embedded), Onsite",Raytheon,TX,On-site,53
Raft Software Engineering Intern - Summer 2025,Raft,VA,Remote,40.0
Software Engineer,Lattice,NA,NA,112
Intern - Software Development,NISC,MO,Hybrid,NA
2025 Intern - Software Engineer,Adobe,NA,NA,76.0
Software Developer - Web,Uline,IL,On-site,NA
Software Engineer,Domo,UT,On-site,NA
Intern - Software Development (iOS),NISC,MO,Hybrid,NA
Software Engineer,Cloudflare,WA,Remote,NA
"Software Engineer, Agentic AI Product",Moveworks,CA,On-site,130
Software Engineer Intern,Raven Industries,NA,NA,41.0
Cloud Engineer,FinThrive,NA,NA,NA
Early Career C/UNIX Developer,Gainwell Technologies,AR,Remote,41.4
Software Engineer Consultant I,Allstate,NA,NA,NA
Software Engineer Intern,Coinbase,NA,NA,100.0
Senior Software Engineer (Python/AWS),Venturi,NA,NA,150
"Frontend Engineer, Internal Identity",Stripe,NA,NA,150.5
Software Engineer,NAVWAR,CA,On-site,99
Software Engineer I (Hybrid-Puerto Rico),Collins Aerospace,NA,NA,NA
US Role,Clinisys,NC,On-site,67.2
"Software Development Engineer Intern 2025, AI/ML",Amazon,NA,NA,95.68
Software Engineer 2,Intuit,CA,On-site,NA
"Software Engineering Intern, Backend - Summer 2025",Verkada,CA,On-site,110.0
Software Engineer,General Dynamics Mission Systems,VA,On-site,86.5
Full Stack .NET Engineer - Logistics,Motion Recruitment,NH,Hybrid,NA
Entry Level Software Developer,SkillStorm,SC,On-site,NA
Software Developer - Web,Uline,WI,On-site,NA
Software Developer - Entry Level - Apprentice,Catalyte,IL,On-site,31.0
"Engineers, Software",T-Mobile,NA,NA,137.3
Intern - Software Development,Landis+Gyr,GA,On-site,NA
Software Engineering Intern (Hybrid Work Schedule),Quorum Software,TX,Hybrid,NA
"Air Defense, Mission Software Engineer, Front-End",Anduril Industries,CA,On-site,132
Software Engineer - Vendor Management,Assembled,CA,Hybrid,125
Software Engineer I-R-225610,Mastercard,WA,Hybrid,83
"Software Engineer, ML Infra",Nuro,CA,On-site,167.2
AI Engineer - Remote (1876),Asure Software,TX,Remote,95
Digital Farming Intern: Software Engineer,Bayer,NA,NA,60.0
Backend Software Engineer - University Graduate 2025,Verkada,CA,On-site,120
Cloud Engineer,Abbott,NA,NA,57.3
Software Engineer (Azure & ABAP),Arco: Experts In Safety,NA,NA,NA
Software Developer (Java),Nabors Industries,TX,On-site,NA
Data Engineer,Sierra Nevada Brewing Co.,NA,NA,NA
Software Engineer Internship - iOS,Ramp,CA,On-site,120.0
DevOps/TechOps,mdf commerce,PA,Remote,NA
"Software Engineer, Back End",Capital One,NA,NA,NA
Software Developer,Robert Half,GA,On-site,83.92
Software Developer I,Kenan Advantage Group,OH,Remote,57.5
Software Engineer (.Net),Procare Solutions,CO,Remote,95
"Junior Backend Engineer - Java (onsite - Austin, TX)",CyberCoders,TX,On-site,70
"Software Engineer, Data Platform Engineering",Tesla,TX,On-site,NA
AI UX Platform Engineer,Priceline,NA,Hybrid,130
Web Software Developer II,Mouser Electronics,NA,NA,NA
IT Software Developer Intern,Union Home Mortgage Corp.,NA,NA,NA
Data Engineer I,Worldpay,NA,Remote,77.1
DevOps/TechOps,mdf commerce,MA,Remote,NA
"Software Engineering Intern - MyBiz, Summer 2025",Amway,MI,Hybrid,NA
Research Engineer - Basketball Operations,Orlando Magic,NA,NA,NA
Research Intern,Fujitsu,NA,NA,NA
Software Engineer Intern - Summer 2025,Electronic Arts (EA),CA,Hybrid,NA
DevOps/TechOps,mdf commerce,NY,Remote,NA
Full Stack Software Engineer (Starshield),SpaceX,CA,On-site,120
DevOps Engineer,WalkMe™,TX,Hybrid,90
Artificial Intelligence/Machine Learning/Data Science Engineering Intern,Zscaler,CA,Hybrid,50.0
Software Engineer (Experienced) - Contact Data,Assembled,NY,Hybrid,125
Quant Developer,Open Systems Technologies,CT,Hybrid,175
Appian Developer,Synergy,NA,NA,105
Software Engineer_IT,Versant Health,NA,NA,110
Full Stack Developer,Accenture Federal Services,DC,Hybrid,NA
Software Developer,Labatt Food Service,TX,On-site,NA
Entry Level Software Developer,SkillStorm,AZ,On-site,NA
Software Intern for Enterprise IOT and Data Science,KLA,NA,NA,NA
Associate Data Engineer,"Steampunk, Inc.",TX,On-site,100
BOT Developer,ClearBridge Technology Group,NA,NA,NA
Application Developer - Penn Engineering,University of Pennsylvania,PA,On-site,43.9
Software Engineer - FEA Meshing,Autodesk,MI,Hybrid,NA
DevOps/TechOps,mdf commerce,NA,NA,NA
Software Engineer / Principal Engineer Software - R10179217,Northrop Grumman,NA,NA,81.3
"Software Engineer, SONiC",NVIDIA,NA,NA,120
Engineer - Flight Software,Terran Orbital Corporation,CA,On-site,110
"Software Engineer III, iOS (Remote)",Weedmaps,CA,Remote,130
Machine Learning Engineer,EvenUp,CA,Remote,NA
Tencent Cloud PaaS Associate Site Reliability Engineer (Fresh Graduate),Tencent,CA,On-site,NA
Associate Engineer,Landis+Gyr,GA,Hybrid,57.1
Application Software Engineer,SpaceX,CA,On-site,120
Statistical Programmer I,Rho,NA,NA,80
"Software Engineering Intern, Embedded - Summer 2025",Verkada,CA,On-site,110.0
Ruby on Rails Developer,Kaseya,NA,NA,NA
DevOps/TechOps,mdf commerce,IL,Remote,NA
"Software Developer & Testing Internship - Undergraduate San Jose, California",Align Technology,CA,Hybrid,30.0
"Senior Associate, Back-End Engineer",BNY,PA,Hybrid,NA
Software Engineer,StratasCorp Technologies,VA,On-site,NA
Associate Developer,Berkshire Hathaway Specialty Insurance,MA,On-site,NA
Data Engineer,Dot Foods,MO,Hybrid,77.1
Systems Software Engineer Intern (US Remote) - Summer Internship 2025,Motorola Solutions,NA,Remote,NA
GXP Software Engineering Intern,"BAE Systems, Inc.",CA,On-site,48.6
Data Engineer,Scoular,NA,NA,NA
"Intern, Mobile Application Software Engineer, Summer 2025",Lucid Motors,NA,NA,NA
2025 US Summer Internship - Game Engineering,Activision,NA,NA,40.0
Data Operations Engineer I & II - Hybrid,Blue Cross Blue Shield of Arizona,AZ,Hybrid,NA
Mainframe Software Engineering Apprentice,U.S. Bank,WI,Hybrid,56.54
Data Engineer I,Worldpay,OH,On-site,77.1
Desktop Software Intern (Winter/Spring 2025),Formlabs,MA,On-site,NA
AI Engineer,Capital One,NA,NA,NA
Rust Developer (IoT/ Linux Specialist),Collabera,CA,On-site,170.0
"Software Developer & Testing Internship - Undergraduate Raleigh, North Carolina",Align Technology,NC,Hybrid,NA
"Software Engineering Intern, Frontend - Summer 2025",Verkada,CA,On-site,110.0
Site Reliability Engineer (SRE)_ Mandarin Speaking,Chowbus,IL,On-site,NA
Algorithm Engineering Intern,KLA,NA,NA,NA
Java AWS Developer,Virtusa,DE,On-site,NA
"Frontend Engineer, Internal Identity",Stripe,WA,Hybrid,150.5
Keynote Animation Software Engineer (Software Engineer V),Russell Tobin,CA,Remote,NA
"Software Engineer, Flight Software (Starlink)",SpaceX,WA,On-site,120
Data Engineer 2,Garmin,NA,NA,NA
"2025 Summer Intern, BS/MS, Evaluation & Inference Team",Waymo,NA,NA,96.15999999999998
Full Stack Developer(.Net ),"Antra, Inc.",NA,NA,60
Developer-Full Stack Professional,Apex Systems,VA,Hybrid,100.0
Senior Full-Stack Engineer - Java,GameStop,TX,On-site,NA
.NET Software Engineer,Wells Fargo,NA,NA,NA
2025 US Summer Internship - Game Engineering,Activision Blizzard,CA,On-site,40.0
"Software Engineer, Microservices Developer",Centric Software,NA,NA,NA
Summer 2025 - Embedded Software Engineering Internship,CesiumAstro,CO,On-site,NA
Data Engineer,ConsultNet Technology Services and Solutions,MA,On-site,NA
Android Developer,Applied Intuition,CA,On-site,147
Kohler Intern - UIRP - Software Development,Kohler Co.,NA,On-site,64.38
Intern - Software Engineer,Symbotic,MA,On-site,NA
Software Engineer (Direct To Cell),SpaceX,WA,On-site,120
Cloud Developer,Kforce Inc,FL,Hybrid,110.0
"Software Engineer, Flight Software (Starship)",SpaceX,CA,On-site,120
Senior DevOps Engineer,Insperity,TX,Remote,93
"Solutions Engineer, Corporate",ServiceTitan,NA,NA,89.1
Software Engineer Digital Transformation,SAIC,NA,Remote,120
2025 Intern - Machine Learning Engineer AI/ML,Adobe,NA,NA,90.0
"Graduate Intern, Innovation and AI Engineering (Spring 2025)",Delta Air Lines,GA,On-site,NA
Software Engineer - Front End (Enterprise Cost Team),"Lowe's Companies, Inc.",NC,On-site,NA
"Developer Technology Intern, AI - Summer 2025",NVIDIA,NA,NA,NA
Summer 2025 Data Science and Network AI Internship,T-Mobile,NA,NA,40.0
Software Engineer - Android,Walmart,NA,NA,117
"Software Developer Engineer II, Training & Certification, Content Technology",Amazon Web Services (AWS),NA,NA,129.3
Web and Applications Developer,ICMA - International City/County Management Association,DC,Remote,69.9
Web Software Developer,"Orbital Engineering, Inc.",PA,On-site,NA
Software Development Engineer II (Onsite),Raytheon,RI,On-site,64
Software Engineer in Test - ONTAP Security,NetApp,NA,NA,112.2
Fullstack Developer,Actalent,CA,On-site,100
Software Engineer - Database Technologies,Onco360 Oncology Pharmacy,KY,Hybrid,90
"Software Engineer, Embedded Firmware (R2524)",Shield AI,MA,On-site,97.6
"Internship, Data Engineer, Applications Engineering (Winter/Spring 2025)",Tesla,CA,On-site,NA
Test Automation Engineer,Schneider Electric,TN,Hybrid,NA
Software Engineer Consultant II,Allstate,NA,NA,NA
Backend Software Engineer - Trust and Safety - San Jose,TikTok,NA,NA,165
Certinia PSA Developer + Salesforce PSA QA Tester Openings.,Dexian,IL,Remote,90.0
"REMOTE Senior Backend Software Engineer - Python, Django",CyberCoders,CA,Remote,150
Azure Cloud Engineer - Full Remote - US Citizen/Green Card Only,GlobalSource IT,NA,NA,110/yr - 
Embedded Software Engineer - University Graduate 2025,Verkada,CA,On-site,120
"Development, Professional (Hybrid - 3 Days in Office)",Freddie Mac,VA,Hybrid,94
"Software Engineer, Starlink Ground Stations",SpaceX,WA,On-site,120
Embedded Software Engineer I,Life Fitness / Hammer Strength,IL,On-site,NA
Tech Evangelist,SecurityScorecard,NA,NA,125
AI Developer,Credigy,GA,On-site,NA
"2025 Summer Intern, MS, Behavior Planning Research",Waymo,CA,Hybrid,100.95999999999998
Software Developer-Video Engineering,Cognizant,CO,Hybrid,40
2025 Intern - Machine Learning Engineer CV/ML,Adobe,NA,NA,90.0
Software Engineer I (Java)- (Onsite),Collins Aerospace,MD,On-site,53
Junior Software Engineer,"Apogee Research, LLC",VA,On-site,NA
Software Dev Engineer II (Local To WA),Belcan,WA,Hybrid,100.0
Developer,Tata Consultancy Services,VA,On-site,100
Software Engineer Intern (Data Platform - Big Data) - 2025 Summer/Fall (PhD),TikTok,NA,NA,144.0
Software Engineer - Database Technologies,Onco360 Oncology Pharmacy,TX,Hybrid,90
Deployment Engineer,Tyler Technologies,ME,Remote,NA
Sr. DevOps Engineer,Abbott,NA,NA,95.5
Staff Cloud Security Engineer,Ro,NY,Remote,200
Software Engineer,MACOM,NJ,On-site,NA
GUI Software Engineer,Actalent,PA,Hybrid,86.54000000000002
Data Engineer,MSCI Inc.,NA,Remote,88
Software Engineer - Tax Calculation Engine - US Tax - Senior Associate,PwC,CA,Remote,83
