job_title,company_name,state,office_type,salary
"Sphere Quality Assurance (QA) Summer 2025 Student Associate (Burbank, CA)",Madison Square Garden Entertainment Corp.,CA,Hybrid,45.0
Senior IT Systems Engineer,The Reynolds and Reynolds Company,NA,NA,NA
ERP/CRM Developer,Robert Half,CT,On-site,123.5
NA,NA,NA,NA,NA
Intern - Software Engineer,NetApp,NA,NA,NA
NetApp Emerging Talent - Entry Level Software Engineer,NetApp,NA,NA,107
Engineer Software - Software Integration & Test Automation Engineer - R10177173,Northrop Grumman,NA,NA,89.4
Software Developer - Web,Uline,IL,On-site,NA
Summer 2025 Development Operations Intern,Greif,OH,Hybrid,NA
Atlas Graduate Program: Software Engineer (2025),Siemens EDA (Siemens Digital Industries Software),OR,Hybrid,103.84000000000002
(Early Career) Systems Engineer I - Intern Conversion,Blue Origin,WA,On-site,74.3
Senior/Principal Software Engineer (PGS Space) - R10178331,Northrop Grumman,NA,NA,110.3
E-Trading Developer,Jefferies,NA,NA,120
Lead Machine Learning Engineer - Python,Kforce Inc,DE,Hybrid,125
Engineer Systems IRBM/ICBM Targets Program - R10178338,Northrop Grumman,NA,NA,77.2
"Associate, Integration/Test Engineer (Melbourne, FL)",L3Harris Technologies,FL,On-site,NA
Engineer II - .NET,GEICO,MD,On-site,60
Game Developer,Microsoft,NA,NA,70
Data Systems Engineer,"KBR, Inc.",NA,NA,NA
Space Domain Software Engineer,Leidos,CA,On-site,65
IAM Security Engineer,Cloudflare,TX,Hybrid,137
Developer,Tata Consultancy Services,OH,On-site,100
Amazon Robotics - Applied Scientist II Intern / Co-op - 2025,Amazon,NA,NA,130.76
Engineer,Tata Consultancy Services,PA,On-site,95
Validation Engineer,PSC Biotech Corporation,NA,NA,NA
Software Developer - Web,Uline,WI,On-site,NA
NetApp Emerging Talent - Software Engineer,NetApp,NA,NA,112
HPC Engineer Intern-Spring 2025-ICL,Georgia Tech Research Institute,GA,On-site,NA
Software Engineer,Arrow Search Partners,NY,Hybrid,150
"Research Scientist, Multimodal LLMs",Google DeepMind,CA,Hybrid,136
Asset Servicing - Software Engineer - Associate - SLC - GBM Public,Goldman Sachs,NA,NA,NA
"Research Scientist, Gemini Multilinguality",Google DeepMind,CA,Hybrid,136
Data Engineer,Robert Half,IA,On-site,80
"Intern, Robotics Perception Research",Autodesk,CA,Hybrid,47.8
Human Systems & Visualization Intern,Draper,MA,On-site,NA
DevOps Engineer/Principal DevOps Engineer (PGS Space) - R10176223,Northrop Grumman,NA,NA,87.2
Cloud Release Engineer,HashiCorp,NA,NA,153
Software Engineer - GTRI-ICL - OPEN RANK (Onsite),Georgia Tech Research Institute,GA,On-site,NA
Internship - Software Product Engineer - Computational Lithography,ASML,CA,On-site,NA
Software Engineer / Principal Software Engineer (*TS/SCI and Poly req) - R10175751,Northrop Grumman,NA,NA,79.3
Associate Embedded Software Engineer - Embedded Software Engineer,Capgemini Engineering,NA,On-site,46.4
Software Developer Student Intern - Spring 2025 - ASL,Georgia Tech Research Institute,AL,On-site,NA
System Engineer,Axient,AL,On-site,NA
Data Engineer,Robert Half,UT,Remote,142.5
Test Automation Engineer (embedded system),Capgemini Engineering,NA,On-site,NA
"2025 Computational Engineering Co-op - St. Lous, MO",Watlow,MO,On-site,NA
Software Engineer II,Wheels Up,NA,NA,127
Software Developer / Engineer,Scientific Research Corporation,VA,On-site,NA
Associate Embedded Software Engineer / Embedded Software Engineer - R10178359,Northrop Grumman,NA,NA,63.9
"Research Scientist Intern, Systems ML and HPC - SW/HW Co-Design",Meta,NA,NA,NA
"Software Developer II, Studios Tech, Studios Core Software",Prime Video & Amazon MGM Studios,NA,NA,129.3
"Associate, Systems Engineer (Rockwall, TX)",L3Harris Technologies,TX,On-site,NA
C++ Developer/Software Engineer,Capgemini Engineering,NA,On-site,NA
Software Developer,The Reynolds and Reynolds Company,NA,NA,90
Microsoft365 Engineer--100% REMOTE---1year+ contract,Beacon Hill,WI,Remote,NA
"Associate Info Security Systems Engineer - Palm Bay, FL",L3Harris Technologies,FL,On-site,NA
Splunk Engineer,Epic,WI,On-site,NA
ServiceNow Developer - GRC/IRM,Planet Technology,NA,NA,NA
"Senior Specialist, Federal Data Engineer",KPMG US,NA,NA,NA
"Research Scientist Intern, AI and Machine Learning (PhD)",Meta,NA,NA,NA
Infrastructure Resilience Engineer,Dewberry,VA,On-site,NA
PT Porter - Front End - 2555,Stop & Shop,NA,NA,30.0
Intern for Total Operational Weather Readiness-Satellites (TOWR-S),"KBR, Inc.",NA,NA,45.6
"Research Scientist Intern, AI for Egocentric Representation Learning (PhD)",Meta,NA,NA,NA
"Research Scientist Intern, Graphics Neural Rendering and Compression (PhD)",Meta,NA,NA,NA
"Research Scientist Intern, Language & Multimodal Foundations (PhD)",Meta,NA,NA,NA
Power Platform Developer,Ripple Effect,MD,Remote,70.9
Principal Engineer Software – Software Integration & Test Automation - R10177168,Northrop Grumman,NA,NA,110.3
Principal DevOps Software Engineer - R10176193,Northrop Grumman,NA,NA,92.6
Lead Software Engineer - R10176521,Northrop Grumman,CA,On-site,NA
Lead Geospatial Engineer - R10176502,Northrop Grumman,CA,Hybrid,65.1
Staff DevOps Engineer (PGS Space) - R10176207,Northrop Grumman,NA,NA,165
Principal Engineer Software-Embedded & Real Time - R10175801,Northrop Grumman,NA,NA,107.3
Veeva RIM Consultant,Capgemini Engineering,NA,Remote,NA
Sr. Engineer - Full Stack - HCP Terraform,HashiCorp,NA,NA,176
Principal Systems Engineer (*TS/SCI & Poly required) - R10175752,Northrop Grumman,NA,NA,97.5
Principal/Sr Principal Software Engineer - NG Space Systems - R10175986,Northrop Grumman,NA,NA,107.3
Senior/Principal DevOps Engineer (PGS Space) - R10176218,Northrop Grumman,NA,NA,107.3
Principal/ Sr Principal Configuration Management Analyst - R10176302,Northrop Grumman,NA,NA,84.6
Sr Principal Systems Engineer – IPT Lead (*TS/SCI required) - R10178319,Northrop Grumman,NA,NA,131.1
Senior Power Platform Developer,Ripple Effect,MD,Remote,85.1
