job_title,company_name,state,office_type,salary
Software Engineer 1 - Backend,Intuit,CA,On-site,NA
Java Engineer,Chicago Trading Company,NY,Hybrid,NA
"Software Engineer, Back End (Bank Teck)",Capital One,NA,NA,NA
Backend Software Engineer 2,Intuit,CA,On-site,NA
Data Engineer,Avathon,NA,NA,NA
Software Engineer,Flint Hills Resources,KS,Hybrid,NA
Java Developer,Tata Consultancy Services,IL,On-site,67.1
"Software Engineer, User Safety",Roblox,CA,Hybrid,175.1
Software Developer,The Johns Hopkins University Applied Physics Laboratory,NA,NA,90
Site Reliability Engineer,WEX,NA,NA,66
Software Engineer,Rincon Research Corporation,AZ,On-site,NA
UTG - Software Engineer Internships - Summer 2025,ServiceNow,CA,On-site,106.26000000000002
Software Development Engineer Internship - 2025 (US),Amazon,NA,NA,95.68
Associate Conversation AI Developer,Five9,NA,NA,79.4
AI Engineer,OneStream Software,NA,NA,100
Embedded Software Engineer Intern,Skydio,NA,NA,82.0
"Graduate Software Engineer (2025 Start), Bellevue",The Trade Desk,NA,NA,140
Software Engineer,Oceaneering,MD,Hybrid,75
Full-Stack Software Engineer,SOCOTEC,NA,NA,85
"Software Engineer, Data Enablement Platform",Brex,NY,Hybrid,NA
"[2025] Software Engineer, Game Engine Programmability - New Grad",Roblox,CA,Hybrid,150.1
Intern - Software Development Engineer (Summer 2025),GM Financial,TX,Hybrid,NA
Software Engineer - Entry Level,General Dynamics Mission Systems,AZ,On-site,74
Software Engineer Intern,Garmin,NA,NA,NA
Advance Technologies Engineering Intern,JLG Industries,PA,On-site,36.0
Front End Software Engineer,SS&C Technologies,CA,Hybrid,115
Site Reliability Engineer II - Remote,Akamai Technologies,NA,NA,83.8
Machine Learning Support Engineer,Labelbox,NA,NA,70
C++ Low Latency Trading Systems Dev-NYC- 150-300K Base+Bonus,Huxley,NY,On-site,150
Software Engineer 1 - Embedded Development,Garmin,NA,NA,NA
Software Engineer II,Cadence,NA,NA,98
Frontend Software Engineer,SOCOTEC,NA,NA,85
"Software Engineer, iOS (All Teams)",DoorDash,NA,NA,NA
10034 - Software Engineer III (Java API),Hyundai AutoEver America,CA,Hybrid,91.8
2025 Summer Intern: Software Engineer,Spectrum,NA,NA,52.0
Mobile Software Engineer (Android) - All Levels,Credit Karma,NC,On-site,NA
Software Engineer - Margin Tech - Salt Lake City - GBM Public,Goldman Sachs,NA,NA,NA
Software Engineering Co-op,GE HealthCare,WI,On-site,NA
Developer,Tata Consultancy Services,PA,On-site,90
Site Reliability Engineer - Remote,Akamai Technologies,NA,NA,68.9
Software Engineer (Hybrid at our Chicago HQ near O'Hare Airport),Alliant Credit Union,IL,Hybrid,NA
Application Engineer: Co-Op,Waystar,GA,Hybrid,NA
Solutions Engineer,CenTrak,NA,Remote,NA
"Software Engineer, Back End (Bank Tech)",Capital One,NA,NA,NA
Applications Developer,UASI,NA,NA,NA
"Specialist Application Engineer (PHP, Golang)",Waystar,GA,Hybrid,NA
Senior Software Engineer,Kforce Inc,TX,On-site,110.0
Software Engineer,Actalent,MO,Hybrid,64.0
