job_title,company_name,state,office_type,salary
Junior Software Engineer,Jobot,CA,Remote,100
Associate Application Developer,Vanderbilt University,NA,NA,NA
Backend Engineer,Fetch,NA,NA,NA
Software Engineer - Full Stack,WeaveGrid,NA,NA,120
Associate Software Engineer,Raft,NA,NA,70
"Software Engineer, Persistence Infrastructure",Discord,CA,Remote,159
"Software Engineer, Developer Tools (Application Software)",SpaceX,CA,On-site,120
Software Engineer,Govini,VA,On-site,NA
Software Engineer,State Farm,NA,NA,NA
"Software Engineer, New College Grad",Visa,NA,NA,103
Software Engineer Intern,Enveda,CO,On-site,NA
Embedded Software Engineer,Econolite,NA,NA,90
"Software Engineer, Associate (NJUS)",NetJets,OH,On-site,NA
Software Engineer,Tyler Technologies,ME,On-site,NA
Software Engineer Intern,Visa,NA,NA,52.0
Mid. Software Developer Engineer - Site Reliability,WEX,NA,Remote,92
Full Stack Software Engineer,Affiliated Monitoring,NJ,Hybrid,NA
Software Engineering Intern,"Modern Technology Solutions, Inc. (MTSI)",VA,Hybrid,NA
Software Engineer Intern,Visa,NA,NA,56.0
Software Engineer,"Yaskawa America, Inc. - Drives & Motion Division",NA,On-site,10
"C# Software Engineer - Yarmouth, Maine",Garmin,NA,NA,NA
Software Development Engineer I,Yardi,CA,Hybrid,120.0
"Software Engineer, R&D SaaS",CooperSurgical,CT,Hybrid,NA
"Software Engineer, New College Grad",Visa,NA,NA,116
Developer Associate,Northwestern University,IL,Hybrid,73
"Software Engineer, GenAI Operator Group",Scale AI,NA,Hybrid,NA
"Faculty--Web Design and Development, DevOps",Brigham Young University - Idaho,ID,On-site,NA
Ruby Software Engineers (All Levels),AppFolio,CA,On-site,106
Software Developer (Remote),ICF,OR,Remote,69.9
"Backend Engineer, Apprenticeship",Fetch,NA,NA,100.0
Software Engineer - Scheduling,Assembled,CA,Hybrid,125
"Senior Software Engineer (JavaScript, Python, AWS Lambda)",NBCUniversal,CA,Remote,NA
Software Engineer - Python,"CPS, Inc.",IL,On-site,NA
"Campus Undergraduate - 2025 Technology Software Engineer III Full-Time New York, NY",American Express,NY,Hybrid,70
Software Engineering Intern (Summer 2025),Scale AI,NA,NA,NA
"Campus Undergraduate - 2025 Technology Software Engineer III Full-Time Atlanta, GA",American Express,GA,Hybrid,70
"Associate, Software Engineer (Tulsa, OK)",L3Harris Technologies,OK,On-site,NA
Software Engineer II,WellSky,KS,On-site,NA
Software Development Intern,"Modern Technology Solutions, Inc. (MTSI)",MO,On-site,NA
"Software Engineer, GenAI Operator Group",Scale AI,CA,Hybrid,NA
"Software Engineer II- Front-end, D&D Beyond (Contract/Temporary)",Wizards of the Coast,NA,NA,96.0
Software Engineer A,"Yaskawa America, Inc. - Drives & Motion Division",IL,Remote,123.6
Software Engineer - New Grad,Scale AI,NA,NA,NA
"Software Engineering Intern, Summer 2025",Amway,MI,Hybrid,NA
"Application Development Professional (Hybrid, Remote Options) – 1-Year Limited Term",University of Notre Dame,IN,Hybrid,NA
"Strategic Student Program: Software Engineering Intern (EBS, Summer 2025)",Siemens EDA (Siemens Digital Industries Software),CO,Hybrid,NA
"iOS Engineer, Apprenticeship",Fetch,NA,NA,100.0
Back End Developer,Robert Half,CA,Remote,160.0
Software Engineer - Vendor Management,Assembled,CA,Hybrid,125
Java Developer,Tata Consultancy Services,IL,On-site,67.1
