job_title,company_name,state,office_type,salary
"Software Development Engineer, II",ProviderTrust,TN,Hybrid,NA
Software Engineer,Torch Dental,NY,On-site,130
Software Engineer,ServiceNow,CA,On-site,121.6
Software Engineer,Visa,NA,NA,73.4
Software Engineer,NBCUniversal,NJ,Remote,NA
Associate Software Engineer,Visa,NA,NA,65.3
Software Developer / Remote / Angular15+ and C#,Jobot,NC,Remote,NA
"Software Engineer - C++, MySQL",ASTEC,NA,NA,NA
Software Engineer II,Form Energy,CA,Hybrid,NA
Software Engineering Intern,Life Fitness / Hammer Strength,IL,On-site,NA
"Backend Software Engineer, Python - San Jose, CA",Experian,CA,Remote,62.1
Software Engineering Intern,Brooks Automation,MA,On-site,NA
Entry Level Software Engineer,General Dynamics Mission Systems,VA,Hybrid,NA
Full Stack Developer,Gambling.com Group,NA,NA,NA
Software Engineer Intern - Summer 2025,Motorola Solutions,IL,Hybrid,NA
Software Engineering Intern,MITRE,NA,NA,NA
Software Engineer Level 1,Best Choice Products,CA,On-site,70
Full Stack Software Engineer,Tential Solutions,VA,Remote,NA
Entry-Level Software Engineer,"KBR, Inc.",NA,NA,NA
Software Engineer - Production Platform,Datadog,NA,NA,130
Software Engineering Intern,Teradata,NA,On-site,50.0
Software Engineer - Vendor Management,Assembled,CA,Hybrid,125
"Software Engineer, Data Platform",WEX,NA,Remote,66
Software Engineer - Distributed Caching,Datadog,NA,NA,130
Software Engineer Summer Intern,Pegasystems,CA,On-site,NA
Software Engineer 2,Garmin,NA,NA,NA
"Software Engineer, New Grad",Stripe,CA,On-site,122.1
"Software Engineer, Corporate Planning & Management, Platform Engineering",Goldman Sachs,NA,NA,NA
Software Engineer Internship | Backend,Ramp,NA,On-site,120.0
"Software Engineer, Android, 1+ Years of Experience",Snap Inc.,NA,NA,97
".NET Developer / C# / Fort Worth, TX / Hybrid",Motion Recruitment,TX,Hybrid,NA
"Senior Software Engineer (JavaScript, Python, AWS Lambda)",NBCUniversal,CA,Remote,110
"Software Engineer, New Grad",Stripe,WA,Hybrid,122.1
SW Engineer I - Remote,Net Health,PA,Remote,NA
Junior Software Engineer,BookedBy,NA,Hybrid,NA
Machine Learning Engineer (Early Career),Accrete AI,NY,Hybrid,90
Software Engineer I,Stats Perform,NA,NA,NA
Junior Software Developer - Hardware Interfacing (.NET),PrePass,AZ,Hybrid,NA
Backend Engineer - Events and Notifications,Verkada,CA,On-site,130
Junior Full Stack Developer - Remote / Hybrid,ICF,VA,Remote,69.9
"Software Engineer, Data Acquisition","DMA - DuCharme, McMillen & Associates, Inc.",IN,Hybrid,NA
"Software Engineer, Android, 1+ Years of Experience",Snap Inc.,NA,NA,NA
Software Engineer I-R-236910,Mastercard,NA,Hybrid,NA
Software Engineer (Experienced) - Contact Data,Assembled,NY,Hybrid,125
"Software DevOps Engineer , Banking Core",Galileo Financial Technologies,DE,On-site,NA
Mid-Level Platform Engineer,SpotOn,IL,On-site,NA
Software Engineer,Spirent Communications,TX,Hybrid,108
Software Developer,ASRC Federal,NA,NA,125
"Full Stack Software Engineer, Lark",ByteDance,NA,NA,136.8
Software Developer,Perdue Farms,NA,NA,73
Front-End Web Developer,Northeastern University,MA,On-site,NA
Software Engineer,Federal Reserve Bank of Dallas,TX,Hybrid,NA
Data Engineer,Veterans United Home Loans,NA,NA,70
Software Engineering Intern,Valeo,MI,On-site,NA
Software Engineer - DevOps,Accrete AI,NY,Hybrid,140
"Software DevOps Engineer , Banking Core",Galileo Financial Technologies,NY,On-site,102.4
"Junior Backend Software Engineer, Global CRM Platform",TikTok,NA,NA,112
DevOps Engineer,Motion Recruitment,VA,Remote,NA
Software Engineering Intern - Quality Tooling,Aurora,CA,On-site,104.0
Software Developer / Remote / Angular15+ and C#,Jobot,GA,Remote,NA
Associate Security Engineer,ScienceLogic,VA,Remote,NA
Firmware Engineer I,Abbott,NA,NA,55.2
Java Developer,Korn Ferry,OH,On-site,120.0
Backend Software Engineer - TikTok LIVE,TikTok,NA,NA,112
WEB DEVELOPER I,City of Miami,FL,On-site,NA
"Software Engineer, Ads Targeting",TikTok,NA,NA,145
Associate Software Engineer,Cognizant,CO,Hybrid,40
