job_title,company_name,state,office_type,salary
"Software Engineer I, Recent Graduate",Acorns,NA,NA,NA
Software Developer I,n2y LLC,NA,NA,NA
"Software Engineering Intern, Summer 2025",Acorns,NA,NA,NA
Generative AI Engineer - 100% Remote,Radian,NA,NA,NA
Software Engineer I - Full Stack,Skillsoft,NA,NA,NA
Software Developer I,Plexus Corp.,WI,On-site,NA
Software Engineer II (Full Stack),Lead,NA,Hybrid,NA
Backend Software Engineer - All Levels,Credit Karma,NC,On-site,NA
.net Software Engineer 2,Garmin,NA,NA,NA
Software Engineer - IT Intern,GitHub,NA,NA,51.92000000000001
Software Engineer & Computer Science - Summer 2025 Intern,Honeywell,NA,NA,NA
"Software Engineer (Backend, Java)",Visa,NA,NA,NA
Software Engineer I,Medtronic,MN,Hybrid,NA
Software Engineer,Cargill,NA,NA,NA
Associate Software Engineer,Arrive Logistics,IL,Hybrid,80
"Software Developer - II, R2PS",Amazon,NA,NA,NA
Software Engineer,Prudential Financial,NJ,Hybrid,NA
Software Developer Intern,ETS,NJ,Hybrid,NA
Associate Software Engineer,Arrive Logistics,NA,Hybrid,80
"Software Engineer I, Customer Experience",Included Health,NA,NA,108.9
Software Engineer 1,Garmin,NA,NA,NA
Software Engineer,NBCUniversal,NJ,Remote,NA
Software Engineer - Vendor Management,Assembled,CA,Hybrid,125
"Software Engineer, Performance Platform",DoorDash,NA,NA,NA
"Software Engineer, Distributed Systems (Go and/or Rust)",Cloudflare,TX,Hybrid,NA
"Software Engineer, Distributed Systems (Go and/or Rust)",Cloudflare,GA,Remote,NA
Software Engineer III,Crunchyroll,CA,Remote,NA
Software Engineer II (Hybrid Eligible),Oak Ridge National Laboratory,TN,Hybrid,NA
Assoicate Software Engineer,Visa,NA,NA,NA
SW Engineer,Visa,NA,NA,NA
Applications Developer,Bath & Body Works,OH,Remote,93
Full Stack Developer,TEGNA,NA,NA,NA
Full Stack .NET Engineer,Assurant,NA,NA,NA
Software Engineer (Direct To Cell),SpaceX,CA,On-site,NA
Software Developer,OnLogic,VT,On-site,NA
.Net Developer,Gainwell Technologies,NA,NA,55.6
Software Engineering Intern,UiPath,WA,Hybrid,NA
Software Engineer - ELSYS - Hybrid - (Open Rank),Georgia Tech Research Institute,GA,Hybrid,NA
Full Stack Developer,Accenture Federal Services,DC,Remote,NA
Software Engineer Intern (SaaP),CooperSurgical,CT,On-site,NA
Junior Full Stack Developer,Worldpay,OH,On-site,NA
Entry Level Software Developer,"Dayton Freight Lines, Inc.",NA,NA,NA
"Software Engineer, Core Data Services",Qumulo,WA,On-site,140
Software Engineer Intern - Web/DevOps,Garmin,NA,NA,NA
Software Engineer (Experienced) - Contact Data,Assembled,NY,Hybrid,125
Early Career Application Designer,Gainwell Technologies,AR,Remote,NA
Associate Software Engineer,NICE,UT,On-site,NA
Software Engineer,Safelite,OH,On-site,NA
Software Development Engineer 2,WEX,NA,Remote,NA
Software Engineer,Applied Intuition,CA,On-site,146.3
"Software Engineer, Distributed Systems (Go and/or Rust)",Cloudflare,CO,Remote,NA
Software Engineer Intern (SAAS),CooperSurgical,CT,On-site,NA
Intern - Software Developer,General Atomics,KS,On-site,NA
"Software Engineer, Distributed Systems (Go and/or Rust)",Cloudflare,WA,Remote,168
Software Development Intern - Summer 2025,Bandwidth Inc.,NA,NA,NA
Software Developer (All Levels),Noblis,VA,On-site,NA
Junior Software Engineer,SAIC,VA,Remote,NA
